molecule_id,smiles,notes
demo_020,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,Public kinase-like compound with an ethynyl-linked heterocycle.
demo_021,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,Public kinase-like compound with a compact fused heterocycle.
demo_022,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,Public kinase-like compound with sulfonamide and nitrile features.
demo_023,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,Public kinase-like compound with a compact bicyclic heterocycle.
demo_024,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,Public kinase-like compound with halogenated aromatic features.
demo_025,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,Public kinase-like compound with thiazole and sulfonamide features.
demo_026,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,Public kinase-pathway compound with a property-rich heterocyclic scaffold.
demo_027,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,Public kinase-like compound with a fused pyridopyrimidinone core.
demo_028,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,Public kinase-like compound with aminopyridine and piperazine features.
demo_029,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,Public kinase-like compound with fluorinated fused heterocycle features.
demo_030,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,Public kinase-like natural-product-derived compound with a complex scaffold.
demo_031,CC(=O)OC1=CC=CC=C1C(=O)O,Public drug-like control with carboxylic-acid and ester functionality.
demo_032,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Public polar heterocyclic drug-like control.
demo_033,CC(=O)NC1=CC=C(C=C1)O,Public compact aromatic drug-like control.
demo_034,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Public hydrophobic carboxylic-acid drug-like control.
demo_035,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,Public fused-aromatic carboxylic-acid drug-like control.
demo_036,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,Public property-diverse aromatic drug-like control.
demo_037,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,Public basic amide drug-like control.
demo_038,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,Public amino-alcohol drug-like control.
demo_039,CN(C)C(=N)N=C(N)N,Public highly polar drug-like control.
demo_040,C1CC,Intentionally invalid SMILES retained for validation testing.
